Município;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
ARAPUTANGA;45;95.0;47.0;33.0;10.0;21;145;112.0;79.0;225.0;349;547
CACERES;75;78.0;35.0;76.0;140.0;73;941;142.0;76.0;625.0;2869;1858
CURVELANDIA;2;4.0;1.0;0.0;1.0;1;37;6.0;8.0;3.0;76;33
GLORIA D'OESTE;1;17.0;10.0;0.0;2.0;2;1;47.0;1.0;1.0;6;30
INDIAVAI;9;4.0;2.0;1.0;0.0;1;18;54.0;5.0;57.0;31;34
LAMBARI D'OESTE;2;7.0;0.0;1.0;0.0;6;50;18.0;3.0;3.0;155;236
MIRASSOL D'OESTE;6;224.0;106.0;8.0;75.0;30;128;395.0;99.0;137.0;368;227
PORTO ESPERIDIAO;60;0.0;3.0;0.0;6.0;3;148;14.0;6.0;166.0;91;85
RESERVA DO CABACAL;117;22.0;56.0;11.0;1.0;3;96;14.0;33.0;76.0;24;114
RIO BRANCO;591;576.0;655.0;375.0;1479.0;2772;1301;5544.0;244.0;1246.0;1530;3946
SALTO DO CEU;8;26.0;2.0;1.0;1.0;19;6;0.0;0.0;0.0;8;11
SAO JOSE DOS QUATRO MARCOS;19;18.0;3.0;7.0;5.0;8;87;31.0;22.0;38.0;531;137
